time ms,free,max,total
16,76037968,129957888,85000192
1016,84073920,129957888,85000192
2016,83709232,129957888,85000192
3024,83971016,129957888,85000192
4025,84080816,129957888,85000192
5025,84073024,129957888,85000192
6025,83724336,129957888,85000192
7026,84073024,129957888,85000192
8026,83716336,129957888,85000192
9026,84065024,129957888,85000192
10026,83716336,129957888,85000192
11026,84065024,129957888,85000192
12026,83716336,129957888,85000192
13026,84065024,129957888,85000192
14026,83716336,129957888,85000192
15026,83716336,129957888,85000192
16027,83716336,129957888,85000192
17027,84065024,129957888,85000192
18027,83716336,129957888,85000192
19027,84049024,129957888,85000192
20027,83700336,129957888,85000192
21027,83700336,129957888,85000192
22027,83700336,129957888,85000192
23037,83700336,129957888,85000192
24037,83700336,129957888,85000192
25037,83700336,129957888,85000192
26037,83700336,129957888,85000192
27037,83700336,129957888,85000192
28037,83700336,129957888,85000192
29038,83700336,129957888,85000192
30041,83700336,129957888,85000192
31041,83700336,129957888,85000192
32042,83700336,129957888,85000192
33042,84049024,129957888,85000192
34042,83700336,129957888,85000192
35043,83700336,129957888,85000192
36043,83700336,129957888,85000192
37043,84049024,129957888,85000192
38043,83700336,129957888,85000192
39044,83700336,129957888,85000192
40044,83700336,129957888,85000192
41044,83700336,129957888,85000192
42044,83700336,129957888,85000192
43044,83700336,129957888,85000192
44044,83700336,129957888,85000192
45044,83700336,129957888,85000192
46044,83700336,129957888,85000192
47044,84049024,129957888,85000192
48049,83700336,129957888,85000192
49049,83700336,129957888,85000192
50049,83700336,129957888,85000192
51050,83700336,129957888,85000192
52050,83700336,129957888,85000192
53050,83700336,129957888,85000192
54050,83700336,129957888,85000192
55050,83700336,129957888,85000192
56063,83700336,129957888,85000192
57066,83700336,129957888,85000192
58066,83700336,129957888,85000192
59066,83700336,129957888,85000192
60066,83700336,129957888,85000192
61066,84049024,129957888,85000192
62066,83700336,129957888,85000192
63067,83700336,129957888,85000192
64067,83700336,129957888,85000192
65099,84076096,129957888,85000192
66147,84048096,129957888,85000192
67167,83933192,129957888,85000192
68167,84062064,129957888,85000192
69170,84046064,129957888,85000192
